scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
baseline_drift,3,hybrid,0.045757197299398464,1.0,0.0,nan,nan
baseline_drift,4,threshold,0.08236726605312952,1.0,0.0,nan,nan
baseline_drift,4,consensus,0.02377276646800979,1.0,0.0,nan,nan
baseline_drift,4,hybrid,0.05625143687926657,1.0,0.0,nan,nan
baseline_drift,5,threshold,0.07991463860180233,1.0,0.0,nan,nan
baseline_drift,5,consensus,0.026297440527466343,1.0,0.0,nan,nan
baseline_drift,5,hybrid,0.05573410401668408,1.0,0.0,nan,nan
baseline_drift,6,threshold,0.10021497667869113,1.0,0.0,nan,nan
baseline_drift,6,consensus,0.023875588413128382,1.0,0.0,nan,nan
baseline_drift,6,hybrid,0.06821064156205617,1.0,0.0,nan,nan
baseline_drift,7,threshold,0.0650998237869905,1.0,0.0,nan,nan
baseline_drift,7,consensus,0.023194383401773624,1.0,0.0,nan,nan
baseline_drift,7,hybrid,0.046634925432189646,1.0,0.0,nan,nan
baseline_drift,8,threshold,0.09357922022379567,1.0,0.0,nan,nan
baseline_drift,8,consensus,0.02626184195719407,1.0,0.0,nan,nan
baseline_drift,8,hybrid,0.0626747909806462,1.0,0.0,nan,nan
baseline_drift,9,threshold,0.05736452397096178,1.0,0.0,nan,nan
baseline_drift,9,consensus,0.026537328839410866,1.0,0.0,nan,nan
baseline_drift,9,hybrid,0.04338031555286238,1.0,0.0,nan,nan
baseline_drift,10,threshold,0.051480946892201944,1.0,0.0,nan,nan
baseline_drift,10,consensus,0.025948700769735968,1.0,0.0,nan,nan
baseline_drift,10,hybrid,0.037893295338009864,1.0,0.0,nan,nan
baseline_drift,11,threshold,0.047801115648791734,1.0,0.0,nan,nan
baseline_drift,11,consensus,0.026132534903805283,1.0,0.0,nan,nan
baseline_drift,11,hybrid,0.03432203095014994,1.0,0.0,nan,nan
baseline_drift,12,threshold,0.04509844912885659,1.0,0.0,nan,nan
baseline_drift,12,consensus,0.02648790363884796,1.0,0.0,nan,nan
baseline_drift,12,hybrid,0.034852654292231985,1.0,0.0,nan,nan
baseline_drift,13,threshold,0.065163498332408,1.0,0.0,nan,nan
baseline_drift,13,consensus,0.027488873482181368,1.0,0.0,nan,nan
baseline_drift,13,hybrid,0.04720578883421401,1.0,0.0,nan,nan
baseline_drift,14,threshold,0.08028969720471466,1.0,0.0,nan,nan
baseline_drift,14,consensus,0.02561805327470079,1.0,0.0,nan,nan
baseline_drift,14,hybrid,0.05623274904393193,1.0,0.0,nan,nan
baseline_drift,15,threshold,0.04490916167153344,1.0,0.0,nan,nan
baseline_drift,15,consensus,0.026431721618875404,1.0,0.0,nan,nan
baseline_drift,15,hybrid,0.03380969538291107,1.0,0.0,nan,nan
baseline_drift,16,threshold,0.0774602456689424,1.0,0.0,nan,nan
baseline_drift,16,consensus,0.02516582604756794,1.0,0.0,nan,nan
baseline_drift,16,hybrid,0.05411526613688404,1.0,0.0,nan,nan
baseline_drift,17,threshold,0.05503457184609166,1.0,0.0,nan,nan
baseline_drift,17,consensus,0.025595474060935583,1.0,0.0,nan,nan
baseline_drift,17,hybrid,0.038710904308722385,1.0,0.0,nan,nan
baseline_drift,18,threshold,0.07755459270881175,1.0,0.0,nan,nan
baseline_drift,18,consensus,0.02632874461678309,1.0,0.0,nan,nan
baseline_drift,18,hybrid,0.05594413399001234,1.0,0.0,nan,nan
baseline_drift,19,threshold,0.03396404428376985,1.0,0.0,nan,nan
baseline_drift,19,consensus,0.0281252630641537,1.0,0.0,nan,nan
baseline_drift,19,hybrid,0.02737017104006732,1.0,0.0,nan,nan
baseline_drift,20,threshold,0.0699596559999434,1.0,0.0,nan,nan
baseline_drift,20,consensus,0.029537862941139987,1.0,0.0,nan,nan
baseline_drift,20,hybrid,0.05088302386171769,1.0,0.0,nan,nan
baseline_drift,21,threshold,0.07525765728622602,1.0,0.0,nan,nan
baseline_drift,21,consensus,0.02750619928128934,1.0,0.0,nan,nan
baseline_drift,21,hybrid,0.04976835781657877,1.0,0.0,nan,nan
baseline_drift,22,threshold,0.0524875973548986,1.0,0.0,nan,nan
baseline_drift,22,consensus,0.022758892539891017,1.0,0.0,nan,nan
baseline_drift,22,hybrid,0.03906093456037801,1.0,0.0,nan,nan
baseline_drift,23,threshold,0.09050945441912915,1.0,0.0,nan,nan
baseline_drift,23,consensus,0.028069464558632216,1.0,0.0,nan,nan
baseline_drift,23,hybrid,0.0599514518556253,1.0,0.0,nan,nan
baseline_drift,24,threshold,0.07743016655211268,1.0,0.0,nan,nan
baseline_drift,24,consensus,0.025473965657855993,1.0,0.0,nan,nan
baseline_drift,24,hybrid,0.05505749455578332,1.0,0.0,nan,nan
baseline_drift,25,threshold,0.07648309559676891,1.0,0.0,nan,nan
baseline_drift,25,consensus,0.027236736585823314,1.0,0.0,nan,nan
baseline_drift,25,hybrid,0.053314078590722985,1.0,0.0,nan,nan
baseline_drift,26,threshold,0.055035165223705086,1.0,0.0,nan,nan
baseline_drift,26,consensus,0.025522310343484414,1.0,0.0,nan,nan
baseline_drift,26,hybrid,0.03887930906345389,1.0,0.0,nan,nan
baseline_drift,27,threshold,0.07777338055665828,1.0,0.0,nan,nan
baseline_drift,27,consensus,0.02487024539585016,1.0,0.0,nan,nan
baseline_drift,27,hybrid,0.05112541312217412,1.0,0.0,nan,nan
